序号,入站通道,消息前缀,解析说明,解析规律,参数含义,当前返回信息,后端用途待确认,后端发出格式
49,QT_Return_switch,MainCameraSize,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraSize」。,"parts[1], parts[2]: 主相机宽高。",向下游抛出 $bus 事件: MainCameraSize,,QT_Return message 建议: MainCameraSize:...
50,QT_Return_switch,MainCameraBinning,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraBinning」。,parts[1]: binning。,"向下游抛出 $bus 事件: MainCameraBinning；-------------- 特殊处理,内部解析数据",,QT_Return message 建议: MainCameraBinning:...
51,QT_Return_switch,fitQuadraticCurve,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「fitQuadraticCurve」。,"parts[0]: 与 Qt 约定的下行关键字「fitQuadraticCurve」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：新的数据格式: ""fitQuadraticCurve:a:b:c:bestPosition:minHFR""。 代码摘要：// 新的数据格式: ""fitQuadraticCurve:a:b:c:bestPosition:minHFR"" console.log('App.vue | 接收到fitQuadraticCurve消息:', data.message); // 使用setTimeout确保清除操作在添加数据之前完成 this.$bus.$emit('ClearfitQuadraticCurve'); setTimeout(() => { this.$bus.$emit('fitQua...","向下游抛出 $bus 事件: ClearfitQuadraticCurve、fitQuadraticCurve；新的数据格式: ""fitQuadraticCurve:a:b:c:bestPosition:minHFR""",,QT_Return message 建议: fitQuadraticCurve:...
52,QT_Return_switch,fitQuadraticCurve_minPoint,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「fitQuadraticCurve_minPoint」。,"parts[0]: 与 Qt 约定的下行关键字「fitQuadraticCurve_minPoint」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：新的数据格式: ""fitQuadraticCurve_minPoint:bestPosition:minHFR""。 代码摘要：// 新的数据格式: ""fitQuadraticCurve_minPoint:bestPosition:minHFR"" console.log('App.vue | 接收到fitQuadraticCurve_minPoint消息:', data.message); this.$bus.$emit('fitQuadraticCurve_minPoint', data.message); break; // ---------------------------------...","向下游抛出 $bus 事件: fitQuadraticCurve_minPoint；新的数据格式: ""fitQuadraticCurve_minPoint:bestPosition:minHFR""",,QT_Return message 建议: fitQuadraticCurve_minPoint:...
53,QT_Return_switch,TelescopePark,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TelescopePark」。,赤道仪停放状态相关字段。,向下游抛出 $bus 事件: MountParkSwitch,,QT_Return message 建议: TelescopePark:...
54,QT_Return_switch,TelescopeTrack,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TelescopeTrack」。,跟踪开关状态相关字段。,向下游抛出 $bus 事件: MountTrackSwitch,,QT_Return message 建议: TelescopeTrack:...
55,QT_Return_switch,MountSetSpeedSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MountSetSpeedSuccess」。,"parts[0]: 与 Qt 约定的下行关键字「MountSetSpeedSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const num = parts[1]; this.$bus.$emit('newMountSlewRate', num); } break;",向下游抛出 $bus 事件: newMountSlewRate,,QT_Return message 建议: MountSetSpeedSuccess:...
56,QT_Return_switch,TelescopePierSide,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TelescopePierSide」。,"parts[0]: 与 Qt 约定的下行关键字「TelescopePierSide」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const Side = parts[1]; this.$bus.$emit('updateMountPierSide', Side); } break;",向下游抛出 $bus 事件: updateMountPierSide,,QT_Return message 建议: TelescopePierSide:...
57,QT_Return_switch,TelescopeTotalSlewRate,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TelescopeTotalSlewRate」。,"parts[0]: 与 Qt 约定的下行关键字「TelescopeTotalSlewRate」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const num = parts[1]; this.$bus.$emit('MountTotalSlewRate', num); } break;",向下游抛出 $bus 事件: MountTotalSlewRate,,QT_Return message 建议: TelescopeTotalSlewRate:...
58,QT_Return_switch,UpdateScheduleProcess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「UpdateScheduleProcess」。,parts[1..]: 计划执行进度。,向下游抛出 $bus 事件: UpdateScheduleProcess,,QT_Return message 建议: UpdateScheduleProcess:...
59,QT_Return_switch,ScheduleComplete,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ScheduleComplete」。,计划任务完成通知。,向下游抛出 $bus 事件: ScheduleComplete；计划任务完成，通知前端重置按钮状态,,QT_Return message 建议: ScheduleComplete:...
60,QT_Return_switch,ExpTimeList,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ExpTimeList」。,parts[1]: 曝光时间列表字符串。,向下游抛出 $bus 事件: initExpTimeList,,QT_Return message 建议: ExpTimeList:...
61,QT_Return_switch,CameraInExposuring,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「CameraInExposuring」。,parts[1]: 是否正在曝光（布尔/枚举字符串）。,向下游抛出 $bus 事件: CameraInExposuring,,QT_Return message 建议: CameraInExposuring:...
62,QT_Return_switch,AutoFocusOver,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusOver」。,自动对焦结束；子段含结果摘要。,向下游抛出 $bus 事件: AutoFocusOver；新格式: AutoFocusOver:success:bestPosition:minHFR,,QT_Return message 建议: AutoFocusOver:...
63,QT_Return_switch,CFWPositionMax,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「CFWPositionMax」。,parts[1]: 滤镜槽位数上限等。,向下游抛出 $bus 事件: SetCFWPositionMax、AppSendMessage,,QT_Return message 建议: CFWPositionMax:...
64,QT_Return_switch,SetCFWPositionSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SetCFWPositionSuccess」。,滤镜轮到位成功。,向下游抛出 $bus 事件: SetCFWPositionSuccess,,QT_Return message 建议: SetCFWPositionSuccess:...
65,QT_Return_switch,SetCFWPositionFailed,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SetCFWPositionFailed」。,滤镜轮到位失败及原因。,向下游抛出 $bus 事件: SetCFWPositionFailed；失败原因里可能包含 ':'，这里做兼容拼回完整字符串,,QT_Return message 建议: SetCFWPositionFailed:...
66,QT_Return_switch,getCFWList,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「getCFWList」。,parts[1]: 滤镜轮槽位名称列表。,向下游抛出 $bus 事件: initCFWList,,QT_Return message 建议: getCFWList:...
67,QT_Return_switch,GuiderSwitchStatus,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderSwitchStatus」。,parts[1] 起：导星开关/循环曝光等状态；以 case 内解析为准。,向下游抛出 $bus 事件: GuiderSwitchStatus,,QT_Return message 建议: GuiderSwitchStatus:...
68,QT_Return_switch,GuiderLoopExpStatus,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderLoopExpStatus」。,parts[1] 起：导星循环曝光状态。,向下游抛出 $bus 事件: GuiderLoopExpStatus,,QT_Return message 建议: GuiderLoopExpStatus:...
69,QT_Return_switch,TelescopeRADEC,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TelescopeRADEC」。,parts[1..]: 望远镜当前 Ra/Dec（单位以 case 内为准）。,向下游抛出 $bus 事件: updateCurrentLocation,,QT_Return message 建议: TelescopeRADEC:...
70,QT_Return_switch,TelescopeStatus,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TelescopeStatus」。,parts[1..]: 望远镜状态摘要。,parts[1..]: 望远镜状态摘要。,,QT_Return message 建议: TelescopeStatus:...
71,QT_Return_switch,MainCameraStatus,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraStatus」。,主相机状态。,主相机状态。,,QT_Return message 建议: MainCameraStatus:...
72,QT_Return_switch,MainCameraTemperature,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraTemperature」。,parts[1]: 传感器温度等。,parts[1]: 传感器温度等。,,QT_Return message 建议: MainCameraTemperature:...
73,QT_Return_switch,ShowAllImageFolder,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ShowAllImageFolder」。,parts[0]: 与 Qt 约定的下行关键字「ShowAllImageFolder」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：parts[1] = CaptureImage{...}。 代码摘要：if (parts.length >= 3) { // parts[1] = CaptureImage{...} // parts[2] = ScheduleImage{...} // parts[3] = SolveFailedImage{...} (如果存在) const solveFailedImageString = parts.length >= 4 ? parts[3] : 'SolveFailedImage{}'; this.$bus.$emit('Sho...,向下游抛出 $bus 事件: ShowAllImageFolder；parts[1] = CaptureImage{...},,QT_Return message 建议: ShowAllImageFolder:...
74,QT_Return_switch,ImageFilesName,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ImageFilesName」。,"parts[0]: 与 Qt 约定的下行关键字「ImageFilesName」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { this.$bus.$emit('ImageFilesName', parts[1]); } break;",向下游抛出 $bus 事件: ImageFilesName,,QT_Return message 建议: ImageFilesName:...
75,QT_Return_switch,USBCheck,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「USBCheck」。,parts[0]: 与 Qt 约定的下行关键字「USBCheck」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：首先发送清空信号。 代码摘要：// 首先发送清空信号 this.$bus.$emit('ClearUSBList'); const item = this.MainCameraConfigItems.find(item => item.label === 'Save Folder'); item.selectValue = ['local']; // 处理U盘信息：单个或多个U盘都通过相同方式处理 // parts[0] = 'USBCheck' // parts[1] 如果是 'Multiple'...,向下游抛出 $bus 事件: ClearUSBList、USB_Name_Sapce；首先发送清空信号,,QT_Return message 建议: USBCheck:...
76,QT_Return_switch,USBFilesList,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「USBFilesList」。,"parts[0]: 与 Qt 约定的下行关键字「USBFilesList」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：从消息中提取JSON部分（跳过 ""USBFilesList:"" 前缀）。 代码摘要：try { // 从消息中提取JSON部分（跳过 ""USBFilesList:"" 前缀） const colonIndex = data.message.indexOf(':'); if (colonIndex === -1 || colonIndex >= data.message.length - 1) { console.error('USBFilesList: no JSON data found, message:', data.message); this....","向下游抛出 $bus 事件: USBFilesList；从消息中提取JSON部分（跳过 ""USBFilesList:"" 前缀）",,QT_Return message 建议: USBFilesList:...
77,QT_Return_switch,ImageSaveErroe,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ImageSaveErroe」。,"parts[0]: 与 Qt 约定的下行关键字「ImageSaveErroe」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const Erroe = parts[1]; if (Erroe === 'USB-Null') { this.callShowMessageBox('No USB Drive Detected.', 'error'); } else if (Erroe === 'USB-Multiple') { this.callShowMessageBox('Multiple USB drives detected, pleas...",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: ImageSaveErroe:...
78,QT_Return_switch,DetectedStars,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「DetectedStars」。,"parts[0]: 与 Qt 约定的下行关键字「DetectedStars」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：console.log('Stars at(', x, ',', y, ') with HFR:', hfr);。 代码摘要：console.log('Detected', parts.length, 'stars.'); this.SendConsoleLogMsg('Detected ' + parts.length + ' stars.', 'info'); this.DetectedStarsList = []; for (let i = 0; i < parts.length; i++) { const a = parts[i]; const b = a.split('|'); if...","console.log('Stars at(', x, ',', y, ') with HFR:', hfr);",,QT_Return message 建议: DetectedStars:...
79,QT_Return_switch,SolveImageResult,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SolveImageResult」。,"parts[0]: 与 Qt 约定的下行关键字「SolveImageResult」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：this.UpdateCirclePos(parts[1], parts[2]);。 代码摘要：if (parts.length === 5) { // this.UpdateCirclePos(parts[1], parts[2]); console.log('Solve Image Result(RA_Degree, DEC_Degree, Azimuth, Altitude):', parts[1], ',', parts[2], ',', parts[3], ',', parts[4]); this.SendConsoleLogMsg('Solve Ima...","向下游抛出 $bus 事件: setParsingProgress；this.UpdateCirclePos(parts[1], parts[2]);",,QT_Return message 建议: SolveImageResult:...
80,QT_Return_switch,SolveFovResult,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SolveFovResult」。,"parts[0]: 与 Qt 约定的下行关键字「SolveFovResult」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 9) { const RaDec = [ { Ra: parts[1], Dec: parts[2] }, { Ra: parts[3], Dec: parts[4] }, { Ra: parts[5], Dec: parts[6] }, { Ra: parts[7], Dec: parts[8] }, ]; this.SolveFovMark(RaDec); } break;",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: SolveFovResult:...
81,QT_Return_switch,RealTimeSolveImageResult,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「RealTimeSolveImageResult」。,"parts[0]: 与 Qt 约定的下行关键字「RealTimeSolveImageResult」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 5) { console.log('Solve Image Result(RA_Degree, DEC_Degree, Azimuth, Altitude):', parts[1], ',', parts[2], ',', parts[3], ',', parts[4]); this.SendConsoleLogMsg('Solve Image Result(RA_Degree, DEC_Degree, Azimuth, Alt...",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: RealTimeSolveImageResult:...
82,QT_Return_switch,SolveImageSucceeded,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SolveImageSucceeded」。,"parts[0]: 与 Qt 约定的下行关键字「SolveImageSucceeded」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：console.log('解析同步成功'); this.$bus.$emit(""handleOperationComplete"", ""solve""); this.$bus.$emit('showMsgBox', 'Solve image succeed!', 'success'); break;",向下游抛出 $bus 事件: showMsgBox,,QT_Return message 建议: SolveImageSucceeded:...
83,QT_Return_switch,SolveImagefailed,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SolveImagefailed」。,"parts[0]: 与 Qt 约定的下行关键字「SolveImagefailed」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('Solve image faild...', 'error'); this.$bus.$emit(""ImageSolveFinished"", false); this.$bus.$emit('setParsingProgress', false); this.$bus.$emit('MountOperationComplete', 'solve'); break;",向下游抛出 $bus 事件: setParsingProgress、MountOperationComplete,,QT_Return message 建议: SolveImagefailed:...
84,QT_Return_switch,FocalLengthError,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocalLengthError」。,"parts[0]: 与 Qt 约定的下行关键字「FocalLengthError」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('焦距未设置，请先设置焦距后再进行解析同步', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",向下游抛出 $bus 事件: MountOperationComplete,,QT_Return message 建议: FocalLengthError:...
85,QT_Return_switch,MainCameraOffsetRange,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraOffsetRange」。,"parts[0]: 与 Qt 约定的下行关键字「MainCameraOffsetRange」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { console.log('MainCameraOffsetRange:', parts[1], ',', parts[2]); this.SendConsoleLogMsg('MainCameraOffsetRange:' + parts[1] + ',' + parts[2], 'info'); this.MainCameraOffsetMin = parts[1]; this.MainCameraOffsetMax...",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: MainCameraOffsetRange:...
86,QT_Return_switch,GuiderOffsetRange,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderOffsetRange」。,parts[0]: 与 Qt 约定的下行关键字「GuiderOffsetRange」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { this.GuiderOffsetMin = parts[1]; this.GuiderOffsetMax = parts[2]; const guiderOffsetValue = parts[3]; const offsetItem = this.GuiderConfigItems.find(item => item.label === 'Offset'); if (offsetItem) { offsetItem...,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: GuiderOffsetRange:...
