序号,协议类型,消息前缀,静态示例,参数说明,后端参数匹配,源文件,前端用途说明,后端用途待确认,后端处理说明
85,Vue_Command,SetBinning:,SetBinning:,parts[1]: string 或 int binning。 [与后端对照: 是],是,src/App.vue,主相机 binning。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetBinning"""
86,Vue_Command,SetCFWPosition:,SetCFWPosition:,parts[1]: int 槽位(1-based)。 [与后端对照: 是],是,src/App.vue,转动滤镜轮到指定槽位（1-based）。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | SetCFWPosition → INDI/SDK 等待到位
87,Vue_Command,SetCameraGain:,SetCameraGain:,parts[1]: int。 [与后端对照: 是],是,src/App.vue,主相机增益。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetCameraGain"""
88,Vue_Command,SetCameraOffset:,SetCameraOffset:,parts[1]: int（Qt 主路径为 ImageOffset:）。 [与后端对照: 否],否,src/App.vue,主相机 offset（前端多为 ImageOffset/已注释路径）。,Qt 侧主分支为 ImageOffset:；若仍发 SetCameraOffset 可能 Unknown。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；mainwindow 使用 ImageOffset:；App.vue 中 SetCameraOffset 多为注释
89,Vue_Command,SetCameraTemperature:,SetCameraTemperature:,parts[1]: double 目标温度。 [与后端对照: 是],是,src/App.vue,主相机制冷目标温度。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetCameraTemperature"""
90,Vue_Command,SetGuiderGain:,SetGuiderGain:,parts[1]: int。 [与后端对照: 是],是,src/App.vue,导星相机增益。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetGuiderGain"""
91,Vue_Command,SetGuiderOffset:,SetGuiderOffset:,parts[1]: int/double。 [与后端对照: 是],是,src/App.vue,导星 offset。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetGuiderOffset"""
92,Vue_Command,SetMainCameraAutoSave:,SetMainCameraAutoSave:,parts[1]: bool 字符串。 [与后端对照: 是],是,src/App.vue,主相机自动保存开关。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetMainCameraAutoSave"""
93,Vue_Command,SetMainCameraCaptureMode:,SetMainCameraCaptureMode:,parts[1]: string 模式枚举。 [与后端对照: 是],是,src/App.vue,单张/连拍/Live 等采集模式。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetMainCameraCaptureMode"""
94,Vue_Command,SetMainCameraLoopCaptureNum:,SetMainCameraLoopCaptureNum:,parts[1]: int 剩余张数。 [与后端对照: 是],是,src/App.vue,连拍剩余张数计数。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetMainCameraLoopCaptureNum"" → LoopCaptureNum"
95,Vue_Command,SetMainCameraSaveFailedParse:,SetMainCameraSaveFailedParse:,parts[1]: bool 字符串。 [与后端对照: 是],是,src/App.vue,解析失败时是否仍保存。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetMainCameraSaveFailedParse"""
96,Vue_Command,SetMainCameraSaveFolder:,SetMainCameraSaveFolder:,parts[1]: string 路径或 local。 [与后端对照: 是],是,src/App.vue,主相机保存目录（含 local 等约定）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetMainCameraSaveFolder"""
97,Vue_Command,SetMainCameraSaveFolder:,SetMainCameraSaveFolder:local,parts[1]: string 路径或 local。 [与后端对照: 是],是,src/App.vue,主相机保存目录（含 local 等约定）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetMainCameraSaveFolder"""
98,Vue_Command,SetMainCameraTileBuildMode:,SetMainCameraTileBuildMode:,parts[1]: string。 [与后端对照: 是],是,src/App.vue,拼图/平铺合成模式。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetMainCameraTileBuildMode"""
99,Vue_Command,SetSerialPort:,SetSerialPort:,parts[1]: Mount|Focuser; parts[2]: string 设备路径或 default | size==3。 [与后端对照: 是],是,src/App.vue,手动指定 Mount/Focuser 串口路径或 default。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts size 3 SetSerialPort
100,Vue_Command,SetUsbTraffic:,SetUsbTraffic:,parts[1]: int。 [与后端对照: 是],是,src/App.vue,USB 流量/带宽参数。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SetUsbTraffic"""
101,Vue_Command,ShowAllImageFolder,ShowAllImageFolder,无参数。 [与后端对照: 是],是,src/components/gui.vue,展示全部图像文件夹。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""ShowAllImageFolder"""
102,Vue_Command,ShutdownRaspberryPi,ShutdownRaspberryPi,无参数。 [与后端对照: 是],是,src/components/gui.vue,关机。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | system(""shutdown -h now"")"
103,Vue_Command,SolveCurrentPosition:,SolveCurrentPosition:,parts[1]: string。 [与后端对照: 是],是,src/App.vue,对当前求解图像做 plate solve。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SolveCurrentPosition"" → solveCurrentPosition()"
104,Vue_Command,SolveSYNC,SolveSYNC,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,解析后与 mount 同步。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SolveSYNC"""
105,Vue_Command,StartAutoPolarAlignment,StartAutoPolarAlignment,无参数。 [与后端对照: 是],是,src/components/AutomaticPolarAlignmentCalibration.vue,启动内置自动极轴：关跟踪、initPolarAlignment、startPolarAlignment。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""StartAutoPolarAlignment"""
106,Vue_Command,StartLoopCapture,StartLoopCapture,无参数（后端可能未匹配）。 [与后端对照: 否],否,src/App.vue,开始连拍（前端）；若后端仅计数需与 SetMainCameraCaptureMode 等配合。,可能无独立分支。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；见 LoopCapture / SetMainCameraLoopCaptureNum
107,Vue_Command,StepsPerClick:,StepsPerClick:,parts[1]: int。 [与后端对照: 是],是,src/App.vue,电调每点击步数。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""StepsPerClick"""
108,Vue_Command,StopAutoFocus,StopAutoFocus,无参数。 [与后端对照: 是],是,src/components/FocuserPanel.vue,停止自动对焦线程并 AutoFocusEnded。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""StopAutoFocus"""
109,Vue_Command,StopAutoPolarAlignment,StopAutoPolarAlignment,无参数。 [与后端对照: 是],是,src/components/AutomaticPolarAlignmentCalibration.vue,停止极轴校准。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""StopAutoPolarAlignment"""
110,Vue_Command,StopLoopCapture,StopLoopCapture,无参数（后端可能未匹配）。 [与后端对照: 否],否,src/components/gui.vue,停止循环拍摄。,若主窗口无同名分支则可能 Unknown。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；停止逻辑可能由 StopSchedule/abort/模式切换间接完成
111,Vue_Command,StopSchedule,StopSchedule,无参数。 [与后端对照: 是],是,src/components/SchedulePanel.vue,停止计划任务并 ScheduleRunning:false。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""StopSchedule"""
112,Vue_Command,SwitchOutPutPower:,SwitchOutPutPower:,parts[1]: string。 [与后端对照: 是],是,src/App.vue,GPIO/电源输出开关。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SwitchOutPutPower"""
113,Vue_Command,SyncFocuserStep:,SyncFocuserStep:,parts[1]: int 目标步数。 [与后端对照: 是],是,src/App.vue,将电调当前位置同步为指定步数并调整限位。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 大块 SyncFocuserStep INDI/SDK
114,Vue_Command,SynchronizeTime:,SynchronizeTime:,多段：日期/时间/时区等（见源码）。 [与后端对照: 是],是,src/components/date-time-picker.vue,同步系统时间与客户端。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""SynchronizeTime"""
115,Vue_Command,USBCheck,USBCheck,无参数。 [与后端对照: 是],是,src/App.vue,检测 USB 存储挂载等。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""USBCheck"""
116,Vue_Command,UnBindingDevice:,UnBindingDevice:,parts[1]: string 设备类型。 [与后端对照: 是],是,src/components/DeviceAllocationPanel.vue,解绑设备类型。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | UnBindingDevice → UnBindingDevice
117,Vue_Command,WestMinutesPastMeridian:,WestMinutesPastMeridian:,parts[1]: int 分钟。 [与后端对照: 是],是,src/App.vue,子午线西侧允许分钟数。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""WestMinutesPastMeridian"""
118,Vue_Command,abortExposure,abortExposure,无参数。 [与后端对照: 是],是,src/components/CircularButton.vue,中止当前曝光。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""abortExposure"""
119,Vue_Command,autoConnectAllDevice,autoConnectAllDevice,无参数（后端可能未匹配）。 [与后端对照: 否],否,src/App.vue,上电自动连接全部设备。,若主窗口无分支则可能 Unknown。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；ConnectDriver 系列通常单独连接
120,Vue_Command,connectAllDevice,connectAllDevice,无参数。 [与后端对照: 是],是,src/App.vue,连接全部设备。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""connectAllDevice"""
121,Vue_Command,currectLocation:,currectLocation:,parts[1]: lat; parts[2]: lon | size==3。 [与后端对照: 是],是,src/components/location-dialog.vue,手动经纬度（拼写 currect），保存并可能 setMountLocation。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | currectLocation size 3
122,Vue_Command,deleteSchedulePreset:,deleteSchedulePreset:,parts[1]: string 预设名。 [与后端对照: 是],是,src/components/gui.vue,删除计划任务预设名。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | deleteSchedulePreset → Tools::deleteSchedulePreset
123,Vue_Command,disconnectAllDevice,disconnectAllDevice,无参数。 [与后端对照: 是],是,src/App.vue,断开全部设备。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""disconnectAllDevice"""
124,Vue_Command,disconnectSelectDriver:,disconnectSelectDriver:,parts[1]: string。 [与后端对照: 是],是,src/App.vue,断开所选驱动实例。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""disconnectSelectDriver"""
125,Vue_Command,editHotspotName:,editHotspotName:,parts[1]: string。 [与后端对照: 是],是,src/components/RPI-Hotspot.vue,编辑热点名称。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""editHotspotName"""
126,Vue_Command,focusMove:,focusMove:,parts[1]: Left|Right。 [与后端对照: 是],是,src/components/FocuserPanel.vue,电调移动/单步/停止/速度等相关。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMove / focusMoveStep / focusMoveStop / focusSpeed
127,Vue_Command,focusMoveStep:,focusMoveStep:,parts[1]: Left|Right; parts[2]: int 步数 | size==3。 [与后端对照: 是],是,src/components/FocuserPanel.vue,电调移动/单步/停止/速度等相关。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMove / focusMoveStep / focusMoveStop / focusSpeed
128,Vue_Command,focusMoveStop:,focusMoveStop:false,parts[1]: bool 字符串。 [与后端对照: 是],是,src/components/FocuserPanel.vue,电调移动/单步/停止/速度等相关。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMove / focusMoveStep / focusMoveStop / focusSpeed
129,Vue_Command,focusMoveToMax,focusMoveToMax,无参数。 [与后端对照: 是],是,src/components/FocuserPanel.vue,移动到行程最大/最小。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMoveToMax / focusMoveToMin
130,Vue_Command,focusMoveToMin,focusMoveToMin,无参数。 [与后端对照: 是],是,src/components/FocuserPanel.vue,移动到行程最大/最小。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMoveToMax / focusMoveToMin
131,Vue_Command,focusSetTravelRange,focusSetTravelRange,无参数。 [与后端对照: 是],是,src/components/FocuserPanel.vue,设置电调行程范围。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusSetTravelRange
132,Vue_Command,focusSpeed:,focusSpeed:,parts[1]: int 档位。 [与后端对照: 是],是,src/components/FocuserPanel.vue,电调移动/单步/停止/速度等相关。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMove / focusMoveStep / focusMoveStop / focusSpeed
133,Vue_Command,focusSpeed:,focusSpeed:0,parts[1]: int 档位。 [与后端对照: 是],是,src/components/FocuserPanel.vue,电调移动/单步/停止/速度等相关。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMove / focusMoveStep / focusMoveStop / focusSpeed
134,Vue_Command,getCFWList,getCFWList,无参数。 [与后端对照: 是],是,src/App.vue,读取已保存 CFW 列表。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getCFWList"""
135,Vue_Command,getCaptureStatus,getCaptureStatus,无参数。 [与后端对照: 是],是,src/components/CircularButton.vue,查询主相机是否正在曝光。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | getCaptureStatus → CameraInExposuring
136,Vue_Command,getClientSettings,getClientSettings,无参数。 [与后端对照: 是],是,src/components/date-time-picker.vue,拉取 config.ini 客户端设置。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getClientSettings"" → getClientSettings"
137,Vue_Command,getExpTimeList,getExpTimeList,无参数。 [与后端对照: 是],是,src/components/CapturePanel.vue,读取曝光列表。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getExpTimeList"""
138,Vue_Command,getFocuserLoopingState,getFocuserLoopingState,无参数。 [与后端对照: 是],是,src/App.vue,查询电调循环状态。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getFocuserLoopingState"""
139,Vue_Command,getFocuserMoveState:,getFocuserMoveState:,parts[1]: bool 字符串。 [与后端对照: 是],是,src/components/FocuserPanel.vue,与对焦移动完成状态联动。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getFocuserMoveState"""
140,Vue_Command,getFocuserParameters,getFocuserParameters,无参数。 [与后端对照: 是],是,src/App.vue,拉取电调参数。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getFocuserParameters"""
141,Vue_Command,getFocuserState,getFocuserState,无参数。 [与后端对照: 是],是,src/components/FocuserPanel.vue,拉取电调状态。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getFocuserState"""
142,Vue_Command,getGPIOsStatus,getGPIOsStatus,无参数。 [与后端对照: 是],是,src/App.vue,GPIO 状态。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getGPIOsStatus"""
143,Vue_Command,getGuiderStatus,getGuiderStatus,无参数。 [与后端对照: 是],是,src/components/ChartComponent.vue,导星开关/循环曝光/状态机。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | getGuiderStatus → GuiderSwitchStatus 等
144,Vue_Command,getHotspotName,getHotspotName,无参数。 [与后端对照: 是],是,src/components/toolbar.vue,获取热点 SSID 名。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getHotspotName"""
145,Vue_Command,getLastSelectDevice,getLastSelectDevice,无参数。 [与后端对照: 是],是,src/App.vue,上次选中设备。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getLastSelectDevice"""
146,Vue_Command,getMainCameraParameters,getMainCameraParameters,无参数。 [与后端对照: 是],是,src/App.vue,主相机参数汇总。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getMainCameraParameters"""
147,Vue_Command,getMountParameters,getMountParameters,无参数。 [与后端对照: 是],是,src/App.vue,赤道仪参数。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getMountParameters"""
148,Vue_Command,getOriginalImage,getOriginalImage,无参数。 [与后端对照: 是],是,src/components/gui.vue,取原始图。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getOriginalImage"""
149,Vue_Command,getPolarAlignmentState,getPolarAlignmentState,无参数。 [与后端对照: 是],是,src/App.vue,极轴校准状态轮询。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | PolarAlignmentState:…
150,Vue_Command,getQTClientVersion,getQTClientVersion,无参数。 [与后端对照: 是],是,src/App.vue,Qt 客户端版本。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getQTClientVersion"""
151,Vue_Command,getROIInfo,getROIInfo,无参数。 [与后端对照: 是],是,src/App.vue,ROI 信息。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getROIInfo"""
152,Vue_Command,getStagingGuiderData,getStagingGuiderData,无参数。 [与后端对照: 是],是,src/components/Chart-Line.vue,暂存导星曲线数据（PHD2 路径已禁用）。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | getStagingGuiderData（内部 #if 0）
153,Vue_Command,getStagingScheduleData,getStagingScheduleData,无参数。 [与后端对照: 是],是,src/App.vue,拉取暂存计划表。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | getStagingScheduleData
154,Vue_Command,getStagingSolveResult,getStagingSolveResult,无参数。 [与后端对照: 是],是,src/App.vue,拉取 plate solve 结果。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getStagingSolveResult"""
155,Vue_Command,getTotalVersion,getTotalVersion,无参数。 [与后端对照: 是],是,src/App.vue,总版本号。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getTotalVersion"""
156,Vue_Command,listSchedulePresets,listSchedulePresets,无参数。 [与后端对照: 是],是,src/components/SchedulePanel.vue,列出计划预设名。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | SchedulePresetList
157,Vue_Command,loadBindDeviceList,loadBindDeviceList,无参数。 [与后端对照: 是],是,src/App.vue,加载可绑定设备列表。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""loadBindDeviceList"""
158,Vue_Command,loadBindDeviceTypeList,loadBindDeviceTypeList,无参数。 [与后端对照: 是],是,src/App.vue,加载设备类型列表。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""loadBindDeviceTypeList"""
159,Vue_Command,loadSDKVersionAndUSBSerialPath,loadSDKVersionAndUSBSerialPath,无参数。 [与后端对照: 是],是,src/App.vue,SDK 与 USB 串口路径信息。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | loadSDKVersionAndUSBSerialPath
160,Vue_Command,loadSchedulePreset:,loadSchedulePreset:,parts[1]: string 预设名。 [与后端对照: 是],是,src/components/SchedulePanel.vue,加载某预设到 StagingScheduleData。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | loadSchedulePreset
161,Vue_Command,loadSelectedDriverList,loadSelectedDriverList,无参数。 [与后端对照: 是],是,src/App.vue,加载已选驱动列表。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""loadSelectedDriverList"""
162,Vue_Command,localMessage,localMessage,无参请求回推；或整段 localMessage:…（见后端分支）。 [与后端对照: 是],是,src/App.vue,无参：请求后端回推缓存的 localMessage:纬度:经度:语言。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==localMessage 且 parts.size()<4 → emit localMessage:lat:lon:lang
163,Vue_Command,localMessage:,localMessage:,"parts[1..3]: lat,lon,lang 等 | size>=4。 [与后端对照: 是]",是,src/components/location-dialog.vue,带经纬与语言等多段时写入 ClientLanguage/缓存并回显；见 location-dialog。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==localMessage 且 parts.size()>=4 → setClientSettings + emit
164,Vue_Command,netMode:,netMode:ap,parts[1]: ap|wan 等。 [与后端对照: 是],是,src/components/RPI-Hotspot.vue,切换 AP/WAN 网络模式。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""netMode"""
165,Vue_Command,netMode:,netMode:wan,parts[1]: ap|wan 等。 [与后端对照: 是],是,src/components/RPI-Hotspot.vue,切换 AP/WAN 网络模式。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""netMode"""
166,Vue_Command,netStatus,netStatus,无参数。 [与后端对照: 是],是,src/components/RPI-Hotspot.vue,网络状态查询。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""netStatus"""
167,Vue_Command,reGetLocation,reGetLocation,无参数。 [与后端对照: 是],是,src/components/location-dialog.vue,重新获取定位。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""reGetLocation"""
168,Vue_Command,saveSchedulePreset:,saveSchedulePreset:,saveSchedulePreset:name:rawData（rawData 可含 ':'，后端 slice 拼接）。 [与后端对照: 是],是,src/components/SchedulePanel.vue,保存计划预设。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveSchedulePreset rawData 可含 ':'
169,Vue_Command,saveToConfigFile:,saveToConfigFile:CalibrationDuration:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/App.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
170,Vue_Command,saveToConfigFile:,saveToConfigFile:ClientLanguage:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/components/view-settings-dialog.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
171,Vue_Command,saveToConfigFile:,saveToConfigFile:Coordinates:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/components/location-dialog.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
172,Vue_Command,saveToConfigFile:,saveToConfigFile:DecAggression:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/App.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
173,Vue_Command,saveToConfigFile:,saveToConfigFile:FocalLength:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/components/gui.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
174,Vue_Command,saveToConfigFile:,saveToConfigFile:GuiderDecGuideDir:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/App.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
175,Vue_Command,saveToConfigFile:,saveToConfigFile:GuiderFocalLength:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/App.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
