序号,传输类型,信封类型,信号名,方向,线上格式,载荷结构,字段约束,前置条件,成功响应,错误响应,状态副作用,兼容状态,权威来源,前端消费路径,解析规律,参数含义,风险等级,备注
149,websocket_text_json,Vue_Command,WestMinutesPastMeridian:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: int 分钟。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,子午线西侧允许分钟数。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""WestMinutesPastMeridian""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""WestMinutesPastMeridian"" | example: WestMinutesPastMeridian:"
150,websocket_text_json,Vue_Command,abortExposure,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,中止当前曝光。,是,frontend:src/components/CircularButton.vue,sendMessage → src/components/CircularButton.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""abortExposure"" | example: abortExposure"
151,websocket_text_json,Vue_Command,autoConnectAllDevice,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数（后端可能未匹配）。 [与后端对照: 否],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,上电自动连接全部设备。,否,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；ConnectDriver 系列通常单独连接 | example: autoConnectAllDevice
152,websocket_text_json,Vue_Command,connectAllDevice,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,连接全部设备。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""connectAllDevice"" | example: connectAllDevice"
153,websocket_text_json,Vue_Command,currectLocation:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: lat; parts[2]: lon | size==3。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,手动经纬度（拼写 currect），保存并可能 setMountLocation。,是,"frontend:src/components/location-dialog.vue | Qt mainwindow.cpp | parts[0]== ""currectLocation""",sendMessage → src/components/location-dialog.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | currectLocation size 3 | example: currectLocation:
154,websocket_text_json,Vue_Command,deleteSchedulePreset:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: string 预设名。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,删除计划任务预设名。,是,"frontend:src/components/gui.vue | Qt mainwindow.cpp | parts[0]== ""deleteSchedulePreset""",sendMessage → src/components/gui.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | deleteSchedulePreset → Tools::deleteSchedulePreset | example: deleteSchedulePreset:
155,websocket_text_json,Vue_Command,disconnectAllDevice,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,断开全部设备。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""disconnectAllDevice"" | example: disconnectAllDevice"
156,websocket_text_json,Vue_Command,disconnectSelectDriver:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: string。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,断开所选驱动实例。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""disconnectSelectDriver""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""disconnectSelectDriver"" | example: disconnectSelectDriver:"
157,websocket_text_json,Vue_Command,editHotspotName:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: string。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,编辑热点名称。,是,"frontend:src/components/RPI-Hotspot.vue | Qt mainwindow.cpp | parts[0]== ""editHotspotName""",sendMessage → src/components/RPI-Hotspot.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""editHotspotName"" | example: editHotspotName:"
158,websocket_text_json,Vue_Command,focusMove:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: Left|Right。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,电调移动/单步/停止/速度等相关。,是,"frontend:src/components/FocuserPanel.vue | Qt mainwindow.cpp | parts[0]== ""focusMove""",sendMessage → src/components/FocuserPanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMove / focusMoveStep / focusMoveStop / focusSpeed | example: focusMove:
159,websocket_text_json,Vue_Command,focusMoveStep:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: Left|Right; parts[2]: int 步数 | size==3。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,电调移动/单步/停止/速度等相关。,是,"frontend:src/components/FocuserPanel.vue | Qt mainwindow.cpp | parts[0]== ""focusMoveStep""",sendMessage → src/components/FocuserPanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMove / focusMoveStep / focusMoveStop / focusSpeed | example: focusMoveStep:
160,websocket_text_json,Vue_Command,focusMoveStop:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: bool 字符串。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,电调移动/单步/停止/速度等相关。,是,"frontend:src/components/FocuserPanel.vue | Qt mainwindow.cpp | parts[0]== ""focusMoveStop""",sendMessage → src/components/FocuserPanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMove / focusMoveStep / focusMoveStop / focusSpeed | example: focusMoveStop:false
161,websocket_text_json,Vue_Command,focusMoveToMax,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,移动到行程最大/最小。,是,"frontend:src/components/FocuserPanel.vue | Qt mainwindow.cpp | parts[0]== ""focusMoveToMax""",sendMessage → src/components/FocuserPanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMoveToMax / focusMoveToMin | example: focusMoveToMax
162,websocket_text_json,Vue_Command,focusMoveToMin,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,移动到行程最大/最小。,是,"frontend:src/components/FocuserPanel.vue | Qt mainwindow.cpp | parts[0]== ""focusMoveToMin""",sendMessage → src/components/FocuserPanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMoveToMax / focusMoveToMin | example: focusMoveToMin
163,websocket_text_json,Vue_Command,focusSetTravelRange,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,设置电调行程范围。,是,"frontend:src/components/FocuserPanel.vue | Qt mainwindow.cpp | parts[0]== ""focusSetTravelRange""",sendMessage → src/components/FocuserPanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusSetTravelRange | example: focusSetTravelRange
164,websocket_text_json,Vue_Command,focusSpeed:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: int 档位。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,电调移动/单步/停止/速度等相关。,是,"frontend:src/components/FocuserPanel.vue | Qt mainwindow.cpp | parts[0]== ""focusSpeed""",sendMessage → src/components/FocuserPanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMove / focusMoveStep / focusMoveStop / focusSpeed | example: focusSpeed:
165,websocket_text_json,Vue_Command,focusSpeed:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: int 档位。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,电调移动/单步/停止/速度等相关。,是,"frontend:src/components/FocuserPanel.vue | Qt mainwindow.cpp | parts[0]== ""focusSpeed""",sendMessage → src/components/FocuserPanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | focusMove / focusMoveStep / focusMoveStop / focusSpeed | example: focusSpeed:0
166,websocket_text_json,Vue_Command,getCFWList,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,读取已保存 CFW 列表。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getCFWList"" | example: getCFWList"
167,websocket_text_json,Vue_Command,getCaptureStatus,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,查询主相机是否正在曝光。,是,frontend:src/components/CircularButton.vue,sendMessage → src/components/CircularButton.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | getCaptureStatus → CameraInExposuring | example: getCaptureStatus
168,websocket_text_json,Vue_Command,getClientSettings,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,拉取 config.ini 客户端设置。,是,frontend:src/components/date-time-picker.vue,sendMessage → src/components/date-time-picker.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getClientSettings"" → getClientSettings | example: getClientSettings"
169,websocket_text_json,Vue_Command,getExpTimeList,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,读取曝光列表。,是,frontend:src/components/CapturePanel.vue,sendMessage → src/components/CapturePanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getExpTimeList"" | example: getExpTimeList"
170,websocket_text_json,Vue_Command,getFocuserLoopingState,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,查询电调循环状态。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""getFocuserLoopingState""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getFocuserLoopingState"" | example: getFocuserLoopingState"
171,websocket_text_json,Vue_Command,getFocuserMoveState:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: bool 字符串。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,与对焦移动完成状态联动。,是,"frontend:src/components/FocuserPanel.vue | Qt mainwindow.cpp | parts[0]== ""getFocuserMoveState""",sendMessage → src/components/FocuserPanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getFocuserMoveState"" | example: getFocuserMoveState:"
172,websocket_text_json,Vue_Command,getFocuserParameters,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,拉取电调参数。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""getFocuserParameters""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getFocuserParameters"" | example: getFocuserParameters"
173,websocket_text_json,Vue_Command,getFocuserState,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,拉取电调状态。,是,"frontend:src/components/FocuserPanel.vue | Qt mainwindow.cpp | parts[0]== ""getFocuserState""",sendMessage → src/components/FocuserPanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getFocuserState"" | example: getFocuserState"
174,websocket_text_json,Vue_Command,getGPIOsStatus,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,GPIO 状态。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getGPIOsStatus"" | example: getGPIOsStatus"
175,websocket_text_json,Vue_Command,getGuiderStatus,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,导星开关/循环曝光/状态机。,是,frontend:src/components/ChartComponent.vue,sendMessage → src/components/ChartComponent.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | getGuiderStatus → GuiderSwitchStatus 等 | example: getGuiderStatus
176,websocket_text_json,Vue_Command,getHotspotName,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,获取热点 SSID 名。,是,frontend:src/components/toolbar.vue,sendMessage → src/components/toolbar.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getHotspotName"" | example: getHotspotName"
177,websocket_text_json,Vue_Command,getLastSelectDevice,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,上次选中设备。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""getLastSelectDevice""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getLastSelectDevice"" | example: getLastSelectDevice"
178,websocket_text_json,Vue_Command,getMainCameraParameters,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,主相机参数汇总。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""getMainCameraParameters""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getMainCameraParameters"" | example: getMainCameraParameters"
179,websocket_text_json,Vue_Command,getMountParameters,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,赤道仪参数。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""getMountParameters""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,medium,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""getMountParameters"" | example: getMountParameters"
180,websocket_text_json,Vue_Command,getOriginalImage,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,取原始图。,是,frontend:src/components/gui.vue,sendMessage → src/components/gui.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""getOriginalImage"" | example: getOriginalImage"
181,websocket_text_json,Vue_Command,getPolarAlignmentState,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,极轴校准状态轮询。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""getPolarAlignmentState""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | PolarAlignmentState:… | example: getPolarAlignmentState
